Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4300,4,Detached House,Nov-20,Nov-20,Nov-20,0,8,8,Public Housing,IPSWICH ,Ipswich,Bundamba
4812,2,Apartment,Mar-21,Mar-21,Apr-21,0,28,28,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4161,4,Detached House,Jun-20,Jul-20,Jul-20,1,0,1,Public Housing,BAYSIDE ,Redland,Capalaba
4551,4,Detached House,Aug-20,Aug-20,Aug-20,1,0,1,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
4300,4,Detached House,Dec-20,Dec-20,Dec-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Jordan
4680,2,Apartment,Apr-21,Apr-21,Apr-21,1,0,1,Public Housing,GLADSTONE ,Gladstone,Gladstone
4508,1,Apartment,Sep-20,Sep-20,Sep-20,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
4114,3,Detached House,Dec-20,Dec-20,Dec-20,1,1,2,Public Housing,LOGAN ,Logan,Woodridge
4131,2,Detached House,Oct-20,Oct-20,Oct-20,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4710,4,Detached House,Nov-20,Nov-20,Nov-20,1,4,5,Public Housing,ROCKHAMPTON ,Livingstone,Keppel
4301,2,Apartment,Nov-20,Nov-20,Nov-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,1,Apartment,Oct-20,Oct-20,Oct-20,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
4178,1,Apartment,Dec-20,Dec-20,Dec-20,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
0000,1,Apartment,Jul-20,Jul-20,Jul-20,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
4127,2,Apartment,May-21,May-21,May-21,1,0,1,Public Housing,LOGAN ,Logan,Springwood
0000,2,Apartment,Feb-21,Feb-21,Feb-21,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4702,4,Detached House,May-21,May-21,May-21,1,0,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4701,5,Detached House,Nov-20,Nov-20,Nov-20,1,0,1,Public Housing,ROCKHAMPTON ,Rockhampton,Keppel
4817,2,Duplex,May-21,May-21,May-21,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4814,3,Detached House,May-21,May-21,May-21,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
0000,2,Duplex,Feb-21,Feb-21,Feb-21,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,Nov-20,Nov-20,Nov-20,1,1,2,Public Housing,BAYSIDE ,Brisbane,Lytton
4179,1,Detached House,Aug-20,Aug-20,Aug-20,1,1,2,Public Housing,BAYSIDE ,Brisbane,Lytton
4812,2,Apartment,May-21,May-21,May-21,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4563,3,Detached House,Jan-21,Jan-21,Jan-21,1,1,2,Public Housing,MAROOCHYDORE ,Noosa,Nicklin
4812,2,Apartment,Feb-21,Mar-21,Mar-21,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,Mar-21,Mar-21,Mar-21,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4558,3,Detached House,Nov-20,Nov-20,Nov-20,1,1,2,Public Housing,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4019,4,Duplex,Mar-21,Mar-21,Mar-21,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4810,2,Apartment,Mar-21,Mar-21,Apr-21,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,Oct-20,Oct-20,Oct-20,1,2,3,Public Housing,BAYSIDE ,Brisbane,Lytton
4815,2,Detached House,May-21,May-21,May-21,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4158,4,Detached House,Sep-20,Sep-20,Sep-20,1,3,4,Public Housing,BAYSIDE ,Redland,Capalaba
4814,2,Townhouse,Mar-21,Mar-21,Mar-21,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4817,2,Apartment,Apr-21,Apr-21,Apr-21,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4814,4,Detached House,Jan-21,Feb-21,Feb-21,1,4,5,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
0000,1,Apartment,Nov-20,Nov-20,Dec-20,1,5,6,Public Housing,BAYSIDE ,Brisbane,Lytton
4301,3,Detached House,Apr-21,Apr-21,May-21,1,7,8,Public Housing,IPSWICH ,Ipswich,Bundamba
4810,2,Duplex,Feb-21,Feb-21,Feb-21,1,8,9,Public Housing,TOWNSVILLE ,Townsville,Townsville
4131,2,Townhouse,Mar-21,Mar-21,Mar-21,2,0,2,Public Housing,LOGAN ,Logan,Waterford
